position,stat,bin_low,bin_high,threshold_observations,mean_probability,observed_rate
K,fg_att,0.0,0.1,1049,0.03453851001903411,0.047664442326024785
K,fg_att,0.1,0.2,987,0.12096288292655014,0.13880445795339413
K,fg_att,0.2,0.3,209,0.2892193485828737,0.2966507177033493
K,fg_att,0.3,0.4,809,0.3308399278876756,0.3127317676143387
K,fg_att,0.5,0.6,514,0.5706658738058611,0.6459143968871596
K,fg_att,0.6,0.7,504,0.6208076253757318,0.6349206349206349
K,fg_att,0.8,0.9,972,0.8821179060197148,0.8940329218106996
K,fg_att,0.9,1.0,46,0.9030044778275316,0.8695652173913043
K,fg_made,0.0,0.1,1954,0.046601740360517833,0.05680655066530194
K,fg_made,0.1,0.2,86,0.10395580622730428,0.12790697674418605
K,fg_made,0.2,0.3,1020,0.23446029574620544,0.2323529411764706
K,fg_made,0.4,0.5,464,0.4762215030358574,0.5474137931034483
K,fg_made,0.5,0.6,556,0.5118669184253926,0.5197841726618705
K,fg_made,0.8,0.9,1020,0.8406651032506025,0.8333333333333334
K,pat_att,0.0,0.1,754,0.04500471461177155,0.04907161803713528
K,pat_att,0.1,0.2,909,0.12579447313502115,0.1474147414741474
K,pat_att,0.2,0.3,729,0.2624607504021802,0.29492455418381347
K,pat_att,0.3,0.4,282,0.34757663580028747,0.3971631205673759
K,pat_att,0.4,0.5,389,0.44859465876384635,0.506426735218509
K,pat_att,0.5,0.6,314,0.5848445732907294,0.6019108280254777
K,pat_att,0.6,0.7,447,0.6627312388979316,0.6599552572706935
K,pat_att,0.7,0.8,260,0.7316253513927933,0.7961538461538461
K,pat_att,0.8,0.9,568,0.8712917037106358,0.8926056338028169
K,pat_att,0.9,1.0,453,0.9288794525973024,0.9227373068432672
K,pat_made,0.0,0.1,1050,0.05495333016927701,0.06476190476190476
K,pat_made,0.1,0.2,813,0.14309211198424276,0.16974169741697417
K,pat_made,0.2,0.3,485,0.25163886700688426,0.3030927835051546
K,pat_made,0.3,0.4,416,0.3402440582673141,0.34615384615384615
K,pat_made,0.4,0.5,299,0.43889932110356783,0.5117056856187291
K,pat_made,0.5,0.6,306,0.5646646255401385,0.5620915032679739
K,pat_made,0.6,0.7,577,0.6367653748049541,0.6516464471403813
K,pat_made,0.7,0.8,138,0.7082671288940248,0.8333333333333334
K,pat_made,0.8,0.9,793,0.8625703309271744,0.880201765447667
K,pat_made,0.9,1.0,228,0.920047211050883,0.9254385964912281
QB,attempts,0.0,0.1,2529,0.03753995184103601,0.04191379992091736
QB,attempts,0.1,0.2,830,0.14453028059080175,0.11566265060240964
QB,attempts,0.2,0.3,727,0.25286413468173485,0.1843191196698762
QB,attempts,0.3,0.4,492,0.3541987413229614,0.34552845528455284
QB,attempts,0.4,0.5,583,0.45421208892029435,0.34991423670668953
QB,attempts,0.5,0.6,380,0.5531211750305998,0.49736842105263157
QB,attempts,0.6,0.7,744,0.6431741864037438,0.510752688172043
QB,attempts,0.7,0.8,879,0.7663627876740028,0.7076222980659841
QB,attempts,0.8,0.9,919,0.862119015685835,0.8291621327529923
QB,attempts,0.9,1.0,1461,0.9481479712844022,0.9329226557152636
QB,carries,0.0,0.1,5774,0.005125508206682033,0.0031174229303775544
QB,carries,0.1,0.2,628,0.13820703811075608,0.09554140127388536
QB,carries,0.2,0.3,422,0.22936184283037586,0.3033175355450237
QB,carries,0.3,0.4,438,0.3538281830731655,0.3767123287671233
QB,carries,0.4,0.5,277,0.4547117310529282,0.44404332129963897
QB,carries,0.5,0.6,332,0.5534663571228435,0.6054216867469879
QB,carries,0.6,0.7,306,0.6397520248409441,0.8104575163398693
QB,carries,0.7,0.8,116,0.7401191430862639,0.8706896551724138
QB,carries,0.8,0.9,639,0.830234637800966,0.8294209702660407
QB,carries,0.9,1.0,612,0.9382667795800492,0.9624183006535948
QB,completions,0.0,0.1,3476,0.023735610871318848,0.017548906789413118
QB,completions,0.1,0.2,623,0.14878974845752255,0.13804173354735153
QB,completions,0.2,0.3,438,0.24941974241114095,0.1963470319634703
QB,completions,0.3,0.4,358,0.3607991982033817,0.29329608938547486
