stadium_id,stadium_name,lat,lon
ATL00,Georgia Dome,33.7576273,-84.4011555
ATL97,Mercedes-Benz Stadium,33.7555052,-84.4008484
BAL00,M&T Bank Stadium,39.277958,-76.6227221
BOS00,Gillette Stadium,42.0909217,-71.2643321
BOS99,Foxboro Stadium,42.0925795,-71.2674657
BRG00,Tiger Stadium (LSU),30.4120328,-91.1838139
BUF00,Highmark Stadium,42.7737531,-78.786954
BUF01,Rogers Centre,43.6416586,-79.3890887
CAR00,Bank of America Stadium,35.2258152,-80.8528376
CHI98,Soldier Field,41.8624598,-87.6167762
CHI99,Memorial Stadium (Champaign),40.0992975,-88.2359533
CIN00,Paycor Stadium,39.0954306,-84.5160435
CIN99,Cinergy Field,39.0965535,-84.5084173
CLE00,Huntington Bank Field,41.5060371,-81.699586
DAL00,AT&T Stadium,32.7479723,-97.0928461
DAL99,Texas Stadium,32.8398075,-96.9108917
DEN00,Empower Field at Mile High,39.7439402,-105.0201065
DEN99,Mile High Stadium,39.7460024,-105.0216427
DET00,Ford Field,42.3401334,-83.0456783
DET99,Pontiac Silverdome,42.6457766,-83.2549503
FRA00,Deutsche Bank Park,50.0686586,8.6454228
GER00,Allianz Arena,48.2188932,11.6247241
GNB00,Lambeau Field,44.5014769,-88.0621617
HOU00,Reliant Stadium,29.6849239,-95.41082
IND00,Lucas Oil Stadium,39.7602037,-86.1638068
IND99,RCA Dome,39.7636251,-86.163448
JAX00,EverBank Stadium,30.3239164,-81.6373486
KAN00,GEHA Field at Arrowhead Stadium,39.0489275,-94.4839962
LAX01,SoFi Stadium,33.953485,-118.3390307
LAX97,StubHub Center,33.8643225,-118.2611153
LAX99,Los Angeles Memorial Coliseum,34.0140427,-118.2878605
LON00,Wembley Stadium,51.5559836,-0.2795903
LON01,Twickenham Stadium,51.4560402,-0.3415439
LON02,Tottenham Hotspur Stadium,51.6042151,-0.0662246
MEX00,Estadio Banorte,19.3029718,-99.150481
MIA00,Hard Rock Stadium,25.9579623,-80.2388423
MIN00,Mall of America Field,44.9738295,-93.2580358
MIN01,U.S. Bank Stadium,44.9736273,-93.2574111
MIN98,TCF Bank Stadium,44.9765379,-93.2245731
NAS00,Nissan Stadium,36.1664774,-86.7712938
NOR00,Caesars Superdome,29.9511425,-90.0810779
NYC00,Giants Stadium,40.813507465,-74.074342406
NYC01,MetLife Stadium,40.813507465,-74.074342406
OAK00,Ring Central Coliseum,37.7516083,-122.2006038
PHI00,Lincoln Financial Field,39.9007914,-75.1674645
PHI99,Veterans Stadium,39.9067652,-75.1706267
PHO00,State Farm Stadium,33.5277555,-112.2625948
PHO99,Sun Devil Stadium,33.4264274,-111.9325752
PIT00,Acrisure Stadium,40.4467883,-80.0157692
PIT99,Three Rivers Stadium,40.4465533,-80.0126137
SAN00,Alamo Dome,29.4169713,-98.4788947
SAO00,Arena Corinthians,-23.5453166,-46.4742288
SDG00,Qualcomm Stadium,32.7832189,117.1195919
SEA00,Lumen Field,47.5951513,-122.3316259
SEA98,Seattle Kingdome,47.5956264,-122.3314355
SEA99,Husky Stadium,47.6502858,-122.3016341
SFO00,Candlestick Park,37.7134337,-122.3862306
SFO01,Levi's Stadium,37.4031837,-121.9698094
STL00,Edward Jones Dome,38.6329321,-90.1885301
TAM00,Raymond James Stadium,27.9759691,-82.503356
VEG00,Allegiant Stadium,36.0908515,-115.1833441
WAS00,Northwest Stadium,38.907703,-76.8645083
MEL00,Melbourne Cricket Ground,-37.819943,144.983447
RIO00,Maracana Stadium,-22.912222222222223,-43.23027777777778
PAR00,Stade de France,48.92444444444445,2.36
MAD01,Bernabeu,40.45306,-3.68835
MUN01,FC Bayern Munich Stadium,48.2188932,11.6247241
